,FileName,Label Title,Time Recorded,Probe_Orientation
10,MS02-20200210-160404_00010.png,MS02-20200210-160404_00010_segmentation.png,2.16,Cross-section
11,MS02-20200210-160404_00011.png,MS02-20200210-160404_00011_segmentation.png,2.37,Cross-section
12,MS02-20200210-160404_00012.png,MS02-20200210-160404_00012_segmentation.png,2.6,Cross-section
13,MS02-20200210-160404_00013.png,MS02-20200210-160404_00013_segmentation.png,2.8,Cross-section
14,MS02-20200210-160404_00014.png,MS02-20200210-160404_00014_segmentation.png,3,Cross-section
15,MS02-20200210-160404_00015.png,MS02-20200210-160404_00015_segmentation.png,3.23,Cross-section
16,MS02-20200210-160404_00016.png,MS02-20200210-160404_00016_segmentation.png,3.43,Cross-section
17,MS02-20200210-160404_00017.png,MS02-20200210-160404_00017_segmentation.png,3.64,Cross-section
18,MS02-20200210-160404_00018.png,MS02-20200210-160404_00018_segmentation.png,3.95,Cross-section
19,MS02-20200210-160404_00019.png,MS02-20200210-160404_00019_segmentation.png,4.16,Cross-section
